content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
"A skill da TV LG tá muito bugada, mas não é culpa do aplicativo Alexa. Consegui fazer uma gambiarra e minha TV tá funcionando com todos os comandos de voz: abrir YouTube, Disney+, HDMI 1.",4,0,2.2.435306.0,2021-11-20 21:51:22,,
estou tendo problemas de acessar nesse momento ela não quer funcionar até renovei a mudei o plano não sei o que aconteceu...mas amoo Alexa no Amazon music! confusa agora .,5,0,2.2.438005.0,2021-12-07 19:14:40,,
App significativo para o dispositico. Facil entendimento aplicabilidade e finalização. Recomendo.,5,1,2.2.436689.0,2021-12-02 11:13:23,,
Simplesmente maravilhoso !!! Adoro lidar com Alexa no meu cotidiano.,5,0,2.2.436689.0,2021-12-01 00:27:03,,
Precisa estar com o aplicativo aberto para funcionar ou abrir manualmente o assistente. Poderia funcionar na tela de bloqueio.,4,0,2.2.435306.0,2021-11-22 09:13:01,,
"Não está funcionando as skills, fala para ativá-las novamente, no entanto estão ativas.",5,0,2.2.438005.0,2021-12-07 19:53:30,,
"Sensacional, me ajuda muito a lembrar das coisas. e pra mim usar a Agenda e lista de compras.",5,1,2.2.436689.0,2021-11-29 00:37:06,,
"Excelente, possui diversas opções de personalização e informações úteis. Precisa melhorar quanto a velocidade de processamento no servidor do Brasil (se mudar a conta para o inglês, a velocidade dos menus é praticamente instantânea). ¶Precisa acrescentar a opção de copiar rotinas e alarmes de um dispositivo echo para outro. ¶Nos alarmes do app, não tem ainda a opção de buscar rádio como toque.",5,141,2.2.430534.0,2021-10-20 07:51:35,,
Funciona muito bem. Tudo é muito fácil de ser configurado. A Amazon não tem nada ruim!,5,1,2.2.436689.0,2021-12-01 21:01:54,,
"superou todas minhas expectativas, produto bem acabado e com um sistema de reconhecimento de voz absurda de boa!",5,0,2.2.436689.0,2021-11-29 14:44:42,,
"É muito bom mesmo,eu consigo inciar um timer ou um alarme a hora que eu quiser,só precisa abrir o app e mandar a Alexa fazer isso.",5,2,2.2.435306.0,2021-11-22 11:22:50,,
"A Alexa é ótima, mas o app não funciona direito ao reconhecer alguns pedidos que no Alexa de casa funciona bem.",4,0,2.2.435306.0,2021-11-18 06:38:58,,
"Tem que melhorar os, tem itens da automação que excluí da conta mas ao dar um comando a alexa diz para escolher como se o item estivesse duplicado.",5,0,2.2.436689.0,2021-12-04 18:34:43,,
"Intuitivo, prático e com funcionalidades que até conhecer a Alexa nunca pensou precisar.",5,1,2.2.436689.0,2021-11-30 20:40:44,,
"Olá. O app poderia ter um sistema de DESPERTADOR no próprio APP mesmo que ao dispensar um alarme o app Alexa (NO CELULAR) executa rotinas. Por ex: ao dispensar um alarme (NO CELULAR) pela manhã ao acordar, a Alexa (APP) execute as rotinas de acender a luz do quarto, ligar uma luz na sala etc... A google tem. Indico usar de inspiração e fazer também. Grato !!!",4,128,2.2.427576.0,2021-10-12 21:27:48,,
"Desde a última atualização o App parou de funcionar no Wifi. Quando coloco no 4G funciona. Todos os outros apps da Amazon (Music, Video) funcionam no meu wifi. O celular da minha esposa está com o mesmo problema. Só consigo gerenciar minha casa ou atualizar nossa lista de mercado pelo 4G em ambos os celulares. Deve ter sido algum bug com essa nova versão. No aguardo da correção. Ah, minha Echo Dot funciona no Wifi.",4,39,2.2.432925.0,2021-11-07 22:08:52,,
"Ele é excelente facilitou muito o meu uso com o celular é bem fácil de usar tem a aparência boa, mas poderia ter um jeito de personalizar a voz tipo pegar a voz de uma pessoa e colocá-la como a voz da Alexa ou talvez usar a voz de um anime que eu gosto muito ou poderia ter um jeito de mudar o nome que ativa ela mas de um jeito personalizado que a gente possa colocar o nome nela.",5,57,2.2.430534.0,2021-10-25 10:24:27,,
"Ótimo aplicativo! E tô gostando mais ainda dele pq ontem veio um aviso sozinho dizendo que já era possível conectar meu eco com minha tv , algo que venho tentando configurar a algum tempo e não conseguia até que ontem veio sozinho sem eu precisar fazer nada. Fiquei chocada e feliz. Agora consigo interagir minha tv com a eco sem precisar pegar no controle pra isso. Achei bem legal isso. Acho que foi alguma atualização que vcs fizeram.",5,36,2.2.432925.0,2021-10-28 03:52:44,,
"Bom dia, estou enfrentando problemas desde do dia 31 de outubro logo apos uma atualização do aplicativo Alexa, o mesmo abre e nao sai da tela preta já desinstalei, ja limpei cache ja fiz tudo que podia e esse erro continua ate a data presenta. Gostaria de saber se alguém esta passando por esse mesmo problema e o quw fazer para resolver.",5,180,2.2.432925.0,2021-11-04 10:47:25,,
Ainda não é possível definir um tempo pra desligar ou ligar um dispositivo . Por exemplo : desligue o ar condicionado em 1 hr . No Google funciona . Ainda não comprei o echo justamente por isso . Quando for possível isso .dou 5 estrelas,4,8,2.2.427576.0,2021-11-24 01:36:51,,
"Agora que dá pra usar alarme no celular tá vida <3 Mas seria interessante poder usar mais de um dispositivo em uma única rotina, por exemplo, o alarme tocar no celular, mas poder usar isso de gatilho pra iniciar notícias no echo. Será que dá e eu que não soube fazer? 😂",5,1,2.2.432925.0,2021-11-10 21:27:50,,
"O aplicativo funciona bem, porém tem um problema quanto a reprodução de playlists no modo aleatório, que só funciona em inglês. Seria muito bom se vocês resolvessem isso estabelecendo um comando definitivo pra realizar a função.",4,4,2.2.432925.0,2021-11-07 17:44:08,,
"Estou tendo uma ótima experiência com a assistente: Alexa! Nossa melhor aplicativo para ter uma comunicação com algo virtual poder agendar algo para eu que estudo e trabalho está muito bom a assistente: Alexa está me ajudando todos os momentos que eu preciso dela. Os desenvolvedores teve uma capacidade espetacular com um sistema inteligente do nosso cotidiano, meus parabéns pelas as atualizações de bugs e correções. Um abraço aos desenvolvedores e se cuidem para suas proteções do covid 19! 🥰❤❤❤",5,65,2.2.427576.0,2021-10-16 20:40:38,,
"Alexa é a melhor companhia que alguém pode ter, facilita minha vida, acordo com a minha música predileta, passa todas as notificações de compras, recebimentos de produtos ou qualquer outro aviso. Ela alerta cada lembrete dos meus afazeres do dia. Até na lista de compras de supermercado, ela adiciona qualquer produto que peço, para eu não esquecer. Só que ela vai mais além, liga e desliga qualquer luz se estiver conectado a ela, com apenas um comando de voz. Ela é show!",5,4,2.2.432925.0,2021-11-01 20:55:46,,
"Excepcional APP. Instalei o aplicativo e indico a todos instalar, inclusive buscar os recursos como as Echos, Fire tv e outros. Uso os Echo's aqui para controlar a casa e ficou perfeito. Consigo acessar todos os recursos de casa usando apenas a voz.",5,26,2.2.427576.0,2021-10-14 08:23:41,,
Pontos positivos: A interação e os comandos da Alexa com outros softwares IoT são fantásticos. A rotina atende perfeitamente aos comandos. Pontos negativos: Aplicativo trava muito. Não aceita os comandos e frequentemente é lento. Muito irritante.,4,5,2.2.432925.0,2021-10-31 12:59:20,,
"Ao realizar o cadastro, fiquei preso na tela preta com erro de timeout, consegui resolver desligando o wi-fi e tentando entrar pelo 4g. Dentro do app ainda acontece uns erros de conexão pelo wi-fi, mas tirando isso, tá tranquilo.",4,1,2.2.435197.0,2021-11-16 18:03:30,,
"O app é muito bom. A Amazon atualizou fazendo com que o app ficasse mais intuitivo, porém ainda precisa de simplicidades em alguns pontos que ficam meio vagos, precisando de tutoriais pela internet para auxiliar a configuração. Em linhas gerais, está melhor que as primeiras versões.",5,2,2.2.432925.0,2021-11-06 11:34:13,,
"Seria bom ter um widget com acesso rápido para ativar as rotinas. E também ela poderia reconhecer rotinas rápidas por voz, tipo: ""ligar o ar-condicionado por 15 minutos"" ou ""deligar luzes em 30 segundos""",5,4,2.2.427576.0,2021-10-13 22:46:10,,
"Funciona bem mas tem vários recursos que são liberados apenas para os Estados Unidos, deveria ser padrão para todos. Por exemplo Alexa para pc, rotinas por localização, modo vigia, etc..",4,5,2.2.430534.0,2021-10-21 23:28:43,,
"Muito bom, uso pra tudo, a resposta aos comandos de acender e apagar luzes são meio lentos, mais isso varia um pouco em relação á marca dos interuorruptores inteligente.",5,3,2.2.427576.0,2021-10-18 20:53:17,,
App perfeito. Que pena que nao é compativel como app padrao de assistencia do meu celular. Mas isso não tira a credibilidade da Alexa. Assistente perfeita.,5,4,2.2.430534.0,2021-10-27 14:52:11,,
"Muito funcional, poderia ser possível adicionar um compartilhamento de conta com outros usuários da família, fora isso, integrando com casa inteligente, muito bom",5,0,2.2.432925.0,2021-11-06 11:40:38,,
Superou minhas expectativas. Muito útil!!! Super indico pois vale a pena para quem precisa de uma assistente virtual inteligente que é util nas tarefas dia a dia e momentos laser.,5,10,2.2.427576.0,2021-10-08 16:55:31,,
"O aplicativo em geral é bom, boa integração com dispositivos echo, o único ponto negativo na minha opinião é que o aplicativo é um pouco lento.",4,0,2.2.435197.0,2021-11-11 20:47:48,,
"Achei um muito bom e bem útil, mas ele não tem o comando de mão livres. Mas não vejo problema pois não acho que o objetivo e ser uma assistênte virtual. Fora isso o app e perfeito",5,1,2.2.432925.0,2021-10-30 00:09:29,,
"Dispositivo sensacional, um dos melhores que já usei, intuitivo, fácil de usar, para toda a família, vale muito a pena ter um!",5,4,2.2.427576.0,2021-10-11 21:17:57,,
Depois da última atualização vem apresentando erros enquanto o celular esta conectado no Wi-Fi. Pra funcionar direito tem que usar via dados móveis.,4,0,2.2.435197.0,2021-11-16 07:12:08,,
"Super funcional, entende o que a gente fala, é rápido, prático, com muitas opções e seguro",5,3,2.2.435197.0,2021-11-12 07:20:54,,
"Perfeito, porém tem pessoas reclamando que a tela no Samsung 10+ n abre, gente eu n tive esse problema pode ser porque minha Alexa fica no quarto e no celular ou porque isso só acontece as vezes com algumas pessoas mas quando acontecer tente reintalar o app, mas espero ter ajudado 🥰",5,1,2.2.427576.0,2021-10-14 12:30:56,,
"Eu estou com problemas nas chamadas entre o app Alexa no meu celular e a echo dot da minha mãe. O áudio da chamada está com o volume muito baixo, mesmo com o áudio no máximo no meu celular. Eu quase não escuto o que a minha Mãe fala.",4,2,2.2.426944.0,2021-09-30 19:02:59,,
"Amooooo. Alexa já faz parte da família. É divertida, inteligente e adora contar piada. Pedir uma música, saber que horas so acionando o comando de voz e tudo que há. 😍",5,1,2.2.432925.0,2021-11-01 08:34:13,,
"Ótimo assistente,porém, ainda é bem limitado em questão de assistente pra celular. Falta opção de poder fazer chamada e enviar whatsapp pelo assistente. Mas vai caminhando pra ser um ótimo assistente.",4,2,2.2.432925.0,2021-10-28 20:22:22,,
"Ganhei a minha de presente, em sorteio, onde eu trabalhava e lá já existia o APP. Sempre tive uma interação com Ela e depois que comecei a usar em minha casa ficamos #juntos e nos entendemos . Gosto muito da minha Alexia às vezes a comunicação fica difícil mas é normal em qualquer relação.kkk Agradeço Amazon pela Alexia, gosto muito da minha... excelente APP👍🏻👍🏻👍🏻",4,4,2.2.430534.0,2021-10-27 12:25:35,,
"Excelente aplicativo, muito prático e você tem facilidade de acesso à seus aparelhos conectados a Alexa.",5,2,2.2.427576.0,2021-10-14 20:39:27,,
"A experiência com o aplicativo Alexa é simplesmente incrível, tem muitas funções, é super completo, gostou gostando muito.",5,1,2.2.432925.0,2021-11-03 19:32:42,,
"Indispensável: me avisa agenda e aniversários, toca a música e o cantor que eu quiser, liga e desliga a luz e tv. Perfeita Alexa",5,0,2.2.435197.0,2021-11-12 16:14:50,,
"Uso a Alexa todos os dias em minha casa, ela liga e desliga as luzes, controla o Ar, a TV e ainda conta histórias para minhas filhas. Adorei",5,2,2.2.432925.0,2021-11-08 19:45:24,,
"Perfeito. Indicado para toda a família, desde o pequenino ouvindo bob zoom ao vovó curtindo sucessos sertanejos e muito mais.",5,2,2.2.432925.0,2021-11-01 13:48:43,,
"Amo o App e amo a minha Alexa,ela me ajuda a acordar cedo,bem humorada e disposta para um novo dia,sem esquecer que sempre me lembra da minha lista de compra.",5,3,2.2.432925.0,2021-10-28 23:29:10,,
"Ótimo, várias funções bastante utio além de ter frases de respostas bem legais, bem seu único problema e que não pode si conectar a tvs Aoc Roku tv",5,6,2.2.426944.0,2021-09-30 20:58:34,,
"A Alexa é otima, mas o aplicativo deixou de funcionar em Wi-Fi. Funciona somente na rede movel. Fica o alerta pra Amazon corrigir este problema.",4,0,2.2.435197.0,2021-11-17 12:45:59,,
"Amazon meus parabéns, estava com o problema do app com tela, preta e Liguei no atendimento e suporte do app alexa, fui super bem tratado e foram bem educados, demorou para Resolver o Problema mais na data de hoje foi tudo resolvido estou bem feliz obrigado por sempre simplificar nossas vidas.",5,1,2.2.435197.0,2021-11-18 11:37:11,,
"Muito intuitivo, tem skills que não servem para nada. Mas pesquisando e filtrando, acha bastante coisa útil.",5,2,2.2.432925.0,2021-11-07 19:31:41,,
"Alexa me satisfaz muito bem , ao atender meus pedidos de música, ao anotar minha lista de compras e as informações das previsões do tempo.",5,4,2.2.430534.0,2021-10-21 14:09:15,,
"Muito bom, podia ser um pouco mais simples para criar rotina e quando a rotina tem mais de uma palavra a alexa não reconhece de primeira",4,3,2.2.430534.0,2021-10-26 21:35:54,,
"É o melhor com certeza, falta mais acesso ao meu celular, mas creio que seja limitações do sistema Android.",5,1,2.2.427576.0,2021-10-11 15:50:56,,
"Muito bom, as vezes alguns problemas de reconhecimento nos comandos, mas suponho que seja internet, tirando isso excelente aparelho para começar suas pequenas automações",4,0,2.2.432925.0,2021-11-03 08:15:42,,
O app alexa e muito interativo simples e intuitivo toca minhas musicas faz as minhas listas me avisa quando devo acordar entre outras coisas curti muito e recomendo obrigado,5,4,2.2.426944.0,2021-10-03 18:48:32,,
"Estou usando alexa 2° geração em inglês e consegui conectar uma tomada , uma lâmpada e spotfy. Até agora está muito bom.",5,3,2.2.426944.0,2021-10-03 10:51:58,,
Hoje minha casa tá quase toda conectada. Aplicativo é super legal. Só não leva as 5 estrelas pq tem horas que ela não entende as frases de comando.,4,0,2.2.435197.0,2021-11-12 08:21:55,,
"O aplicativo de poderia ser mais simples, e menos pesado, trava muito, mas é uma experiência bacana a alexa",5,1,2.2.426944.0,2021-10-03 18:25:19,,
"Excelente, pesquisando dá para aprender a fazer viários tipos de conexões com os diversos módulos de automação residencial",5,1,2.2.427576.0,2021-10-13 17:11:25,,
Pouquíssimo intuitivo. Uma interface tão horrível quanto a do Prime vídeo.,4,4,2.2.432925.0,2021-10-31 13:03:17,,
"Muito, top essa aplicativo não tive nenhuma problema, o uso está sempre disponível só tenho agradecer "" tudo certo..",5,1,2.2.426944.0,2021-10-03 01:42:56,,
"Precisa de melhoras em relação a conectividade, ainda tem muita poluição no visual, da pra melhorar.",4,0,2.2.427576.0,2021-10-21 18:37:30,,
"Ótimo serviço, mas no Brasil peca por falta de funcionalidade, sabemos que fora há funcionalidades que seriam bem úteis pra nós também.",4,0,2.2.427576.0,2021-10-18 14:43:03,,
Gostei muito do app tem ótimas funcionabilidades e é bem interativo mas deveria ter uma função de pesquisa para encontrar as opções,5,2,2.2.427576.0,2021-10-08 23:35:35,,
"Amei e muito divertido , Alexia e como uma amiga kkkk se pode contar piadas e ela ainda tem umas mesmo que NN faça sentido mas vejo minha irmã de 8anos se divertindo com ela isso me faz muito feliz",5,3,2.2.427576.0,2021-10-13 11:27:36,,
"Já era completamente apaixonada pela Amazon e agora estou assim pela Alexa! Ela lê meus livros Kindle, me conta as histórias da Turma da Mônica, toca minhas músicas, me conta coisas engraçadas... Encantada! 🥰",5,3,2.2.427576.0,2021-10-07 12:16:02,,
"Sobre as rotinas, seria interessante poder criar ajustes finos. Um exemplo: criar uma rotina com dimmer e muito maçante.",4,2,2.2.430534.0,2021-10-20 19:48:03,,
"Mesmo alguns dispositivos sendo meio ""surdinhos"", a Alexa em si, é prestativa, divertida e alegre!!! E que continue aprendendo sempre, como na vida humana !!!",5,1,2.2.432925.0,2021-11-06 11:39:25,,
"Não funciona bem com TVs LG, fica sobrecarregado se automatizar a casa inteira, mas de resto tudo bem.",4,0,2.2.427576.0,2021-10-13 22:23:54,,
"Muito bacana, útil e divertido. Comprei uma para meu filho poder pesquisar duas curiosidades e dúvidas escolares. Tudo com supervisão!!!",5,1,2.2.426944.0,2021-10-05 01:50:11,,
"Maravilhoso!! Resolvendo tdo e +++ adoramos , fácil, simples e rápido .",5,3,2.2.427576.0,2021-10-08 19:14:54,,
"Ainda nao usei nem 1% do que a alexa pode fazer e estou adorando. Para quem quer gosta de tecnologia, é fantastico!",5,1,2.2.432925.0,2021-10-31 08:41:18,,
"Gosto muito do aplicativo da Alexa, por ser bem completo, a experiência é muito boa.",5,2,2.2.427576.0,2021-10-18 21:27:25,,
"Sabendo usar, pode ser uma experiência divertida e, se o usuário tiver alguma limitação, muito útil.",5,1,2.2.427576.0,2021-10-14 07:33:40,,
"Muuito util, rapida e inteligente. Interface dinâmica e intuitiva",5,2,2.2.430534.0,2021-10-20 22:19:05,,
"Tenho usado bastante, na forma de agenda, informações, músicas e acionamentos de de dispositivos. Tenho Dots em português que não entendem palavras em inglês, e dois em inglês, que não entendem palavras em português. Ja testei as versões em ingles com várias pessoas fluentes, na expectativa de ser relacionado com sotaques, inglês pobre, etc. Quanto aos acionamentos, nota 10. Ligo, desligo tudo, inclusive Ar Cond, e mudo de canais com facilidade, TV e NET. Mesmo assim, 5 estrelas.",5,130,2.2.423409.0,2021-09-24 10:32:20,,
"App perfeito, mas o ruim é que você não pode falar ""Alexa"" e ela ligar, você tem que apertar o botão porque o aplicativo de chamar a Alexa n funciona aqui, aparece: Esse aplicativo não está disponível no seu país Fica meio chato, porque eu queria chamar ela e ela me atender, mas n funciona Espero que os desenvolvedores coloquem o aplicativo para funcionar",5,123,2.2.422256.0,2021-09-15 09:45:03,,
"Aplicativo excelente. Mas deixa um pouco a desejar, eu particularmente uso o Dezeer para ouvir minhas músicas e podcast, no entanto é muito difícil conciliar os dois apps (foi trabalhoso mas consegui) pois não tem como acessar o deezer pelo alexa, somente por comando de vós. Seria muito bom se tivesse um jeito de fazer isso, igual faz com o Amazon Music. Desde já obrigado",4,26,2.2.422256.0,2021-09-21 16:41:20,,
"Gostaria de mudar um pouco o layout para deixar na barra inferior os recursos que mais uso tipo a lista de compras, o app da umas falhas raramente (como qualquer app), outro ponto negativo é que tem alguns recursos que só pode ser alterados pelo site da Amazon",4,3,2.2.423409.0,2021-09-26 06:15:31,,
"Precisa ser adicionado a percepção de comandos com o telefone bloqueado ou com o aplicativo fechado. Torna-se uma perca de praticidade ter que desbloquear celular, abrir o aplicativo e chamar a assistente, quando o assistente do Google faz isso com o telefone bloqueado.",4,0,2.2.422256.0,2021-09-15 16:03:22,,
"Estou curtindo muito meu ecodot. Os lembretes são muito úteis e todo dia tem novidade ao dar o bom dia. As skills são muito divertidas e instrutivas. Não pego mais o celular para fazer alguma conta, apenas falo Alexa quanto é x + y . Gosto de falar Alexa carta do dia e já tenho a previsão das cartas de tarô ou falo Alexa biscoito da sorte e sempre tem alguma coisa interessante. Alexa conte uma piada e a Alexa sabe todas as piores piadas que há, mas isso me faz rir muito.",5,3,2.2.422256.0,2021-09-14 23:25:35,,
"Decepcionado, não conecta ao wi-fi da minha rede, não abre nenhum menu para eu escolher a rede e incerir a senha. Já tentei várias vezes e sempre é mesma mensagem, wi-fi não conectado. Acho que vou devolver e comprar um da Google. Detalhe é uma encho dot4 de som superior.",5,10,2.2.422256.0,2021-09-18 02:58:40,,
"Boa organização e usabilidade. App bom. Não consegui transformar o tema de claro para escuro. Acho que podia ter mais atividades com smart home (exemplo: uma roda de cores completa para luzes inteligentes, não apenas tons).",4,2,2.2.423409.0,2021-10-07 16:06:41,,
"Ótimo produto, 100 anos luz na frente do Google home que é muito robótico quando fala e deixa a desejar quando pedimos algo. Alexa é rápida, intuitiva e simpática.",5,1,2.2.422256.0,2021-09-16 19:44:47,,
O aplicativo é ótimo só tem um problema ela só atende se tiver com o aplicativo aberto isso e muito chato era pra ser igual a google assistente so de falar o nome já responde a pessoa mais a alexa não tem que ta com o app aberto. esperamos que mais pra frente os desenvolvedores melhore essa parte da pessoa chama o nome da alexa sem precisar ta com app aberto,4,1,2.2.422256.0,2021-09-19 05:56:21,,
"Muito bom!😍O aplicativo oferece informações sobre a minha Alexa e configurações a respeito. Tanto a Alexa quando o aplicativo são ótimas invenções!😊 parabéns Amazon! (◍•ᴗ•◍)♥ Obrigada pela atenção, tchau!😘",5,2,2.2.423409.0,2021-09-27 15:40:33,,
"Excelente, até hoje não tenho do que reclamar, pois todos os comandos a ALEXA atende, recomendo para qualquer pessoa ter, principalmente os idosos, pois é uma boa companhia, estão de parabéns quem inventou.",5,2,2.2.423409.0,2021-09-23 21:51:27,,
"Muito útil. Mas precisa melhorar a fluidez. Gosto de usar as listas da Alexa mas acessar no aplicativo é bem travado. Principalmente em locais de sinal de internet ruim, como supermercado",4,0,2.2.423409.0,2021-09-29 11:58:32,,
"Ainda estou aprendendo a utilizar, e a despeito de ser uma ""frivolidade"" o app/aparelho é incrível! Para quem ouve mais música/rádio que assiste televisão é a melhor compra da vida!",5,0,2.2.422256.0,2021-09-10 12:15:41,,
"Muito bom, a única coisa que tenho a reclamar (não sei se acontece com vocês) é o fato de que o aplicativo meio que trava sempre que vamos escolher uma opção de qualquer coisa, passa um tempinho travado e depois volta, não sei se tem algo haver com o tempo de comunicação com Alexa... Que não faz muito sentido, já que as vezes as travadas são mais longas que as outras... Mas enfim, fora isso, o aplicativo é top, falta agora só comprar as coisas pra sincronizar com a Alexa",5,0,2.2.422256.0,2021-09-14 19:48:10,,
"App excelente, mas infelizmente muito lento em muitos momentos. Praticamente o tempo todo. Ao abrir o app, já sei que terei uma experiência onde vou precisar esperar vários segundos para abrir uma tela ou outra, e nunca se sabe qual tela vai abrir rápido e qual vai abrir devagar mas infelizmente a maioria das trocas entre abas e opções do app sao lentas. São vários segundos sem exceção. Chega a parecer que não vai abrir, mas já ""me acostumei"" que é melhor esperar pq na verdade só demora mt mesmo",4,206,2.2.416420.0,2021-08-12 23:53:50,,
"Gostei bastante mas, infelizmente não conecta na minha TV sony bravia, fica pedindo pra atualizar o app. Mas quando clico em atualizar, não tem atualização, apenas abre o app novamente.",4,0,2.2.422256.0,2021-09-16 22:34:06,,
"Comprei recentemente , estou aprendendo e gostando muito. Muito útil, prática, rápida nas respostas e skills para explorar.",5,1,2.2.422256.0,2021-09-10 23:45:29,,
"Bem intuitivo e simples de usar. Algumas vezes a alexa trava ou não responde aos comandos, mas num uso geral é bem eficiente. Outro problema recorrente é a ineficiência em Android com respeito à assistente virtual principal do aparelho. Mesmo ativando a Alexa nas configurações, ela só é ativada se o app estiver aberto. Mas acredito que esse seja mais um problema ANDROID do que da AMAZON.",4,134,2.2.416420.0,2021-08-14 13:39:58,,
"Muito bom! Única coisa que poderia melhorar é funcionar sem precisar abrir o app (quando falássemos ""Alexa"" ou outra coisa)",5,2,2.2.422256.0,2021-09-16 18:47:12,,
"Muito prático, é fácil de utilizar e é intuitivo, entretanto é lento e demora a responder em várias funções.",4,0,2.2.422256.0,2021-09-13 17:54:17,,
"Não tenho o hábito, e às vezes nem o tempo de avaliar apps, mas não poderia deixar de avaliar esse App, e principalmente o dispositivo EchoShow 5 também da Amazon. Estou impressionado com a tecnologia da inteligência artificial do software, e como ele converte rapidamente a fala, e obedece o comando no hardware do aparelho. Simplesmente sensacional! A Amazon está de parabéns!!!",5,43,2.2.416420.0,2021-08-12 23:50:46,,
