content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent
Só atualizei por causa da encheção de saco.,3,0,,2021-12-11 02:53:21,
Vou dar 3 estrelar por enquanto pq não estou conseguindo o código de ativação,3,0,8.3.2,2021-12-11 00:53:36,
Nunca usei como principal pela dificuldade de sincronizar os contatos,3,0,8.1.2,2021-12-10 19:59:25,
Gosto muito desse aplicativo.,3,0,8.0.0,2021-12-10 17:28:01,
"O app é razoável, mas como cheguei através do Full Max TV, esse me decepciona a cada dia.",3,0,8.3.2,2021-12-10 16:06:04,
"Bom, apesar que tem uma atualização nova todo dia.",3,0,8.3.1,2021-12-10 15:02:53,
Médio,3,0,8.3.1,2021-12-10 12:56:21,
Ainda nao resumi,3,0,7.9.3,2021-12-10 12:00:05,
D+,3,0,8.3.1,2021-12-10 08:05:20,
"O app é incrível! Infelizmente há muito conteúdo pornográfico e ilegal, basta só uma pequena busca na aba de pesquisa :(",3,0,,2021-12-10 06:00:21,
Muito bom,3,0,7.6.0,2021-12-10 00:52:05,
Bom,3,0,8.3.1,2021-12-09 21:10:09,
Olá não está aparecendo o ícone da lixeira quando seleciono uma msg para excluir,3,0,8.3.1,2021-12-09 20:13:17,
Mais ou menos,3,0,8.0.0,2021-12-09 20:03:40,
"O meu está com problemas na hora,totalmente diferente do horário do meu aparelho,também não consigo colocar as fotos para se autodestruir",3,0,8.3.1,2021-12-09 19:43:44,
Falta ter backup de mensagens para não perder futuramente e ter possibilidade de ter mais de uma conta logada no mesmo celular ou no mesmo app,3,0,8.0.0,2021-12-09 11:34:21,
Maravilhoso,3,0,8.2.7,2021-12-09 07:38:44,
"Na última atualização não está permitindo criar gif incluindo stickers animados, nem em fotos, nem em vídeos, antes conseguia.",3,301,8.3.1,2021-12-09 07:33:05,
O código de confirmação demora muito tempo para chegar😥 Angola,3,0,,2021-12-09 06:00:02,
"Bom mas ocupa muito espaço na memória do telemóvel,",3,0,,2021-12-09 04:02:57,
"bom, porém não tem status, acho q deveriam botar, pois iria ser mais legal, ent apenas.",3,1,8.3.1,2021-12-09 03:00:35,
Bom,3,0,8.3.1,2021-12-09 01:11:27,
"Nao dei 5 estrelas por que to enfrentando problemas na hora de abrir o app, o mesmo so fica atualizando e nuncatermina",3,0,4.9.1,2021-12-09 01:02:34,
"Amo o Telegram, mas atualizei hoje e agora n consigo mais mudar o tema. Eu escolho um, coloco, fecho o app e quando volto tá o tema padrão de novo. Até criei um tema novo pra ver se fica e nada. Resolvam isso, por favor. 😣",3,2,8.3.1,2021-12-08 22:46:51,
"Por enquanto ainda uso pouco , nao sei limpar.",3,0,8.3.1,2021-12-08 22:21:05,
Eu tô gostando do aplicativo.,3,0,8.3.1,2021-12-08 22:03:02,
Eu tenho pouca experiência mas é otimo,3,0,7.3.1,2021-12-08 15:54:45,
Privado nada. Um povo estranho que eu não conheço me mandando mensagem.,3,0,8.3.0,2021-12-08 13:54:02,
"É bom,atende,as ne cessidades urgentes.Não sei ;como utilizar em pesquisas e outros mecanismos,no entanto tem se mostrado eficiente.",3,0,8.3.0,2021-12-08 10:29:16,
L;7[♡[,3,0,,2021-12-08 09:38:25,
Tenho ele e conheci por causa da faculdade.,3,0,8.0.0,2021-12-08 09:13:25,
Ola.,3,0,8.3.0,2021-12-08 08:30:02,
"Difícil avaliar, pois 100% dos meus contatos, apesar de terem baixado o app, não o utilizam. Continuam no WhatsApp. Mas não tive problemas quando usei.",3,0,7.9.3,2021-12-08 06:25:23,
Gostei demais do aplicativo não quero desistalar preciso atualizar por favor,3,0,7.9.3,2021-12-08 00:29:50,
Está consumindo a memoria interna do celular.,3,2,8.2.7,2021-12-08 00:14:34,
Muito 👍,3,0,7.7.2,2021-12-07 21:01:19,
Bom,3,0,8.0.0,2021-12-07 17:05:43,
Bem,3,0,,2021-12-07 17:02:49,
Gostei do Telegram pelos Stickers divertidos... Mas a câmera do Telegram pra tirar foto è Horrível. Por favor melhorem isso...,3,0,8.3.0,2021-12-07 15:52:36,
Um aplicativo muito pratico,3,0,5.10.0,2021-12-07 15:28:56,
"Até o momento não recebi nenhuma censura,poderia dizer que o aplicativo é bom Até agora",3,0,8.2.7,2021-12-07 13:54:11,
Parabéns pra quem teve a brilhante ideia de tirar os papéis de parede individuais pra cada conversa,3,0,7.8.2,2021-12-07 13:48:14,
Não e ruim da pra usar.,3,0,8.3.0,2021-12-07 12:18:45,
"O app tinha tudo pra ser melhor que o WhatsApp, porém uma coisa que me chateia muito é a obrigação de atualizar o app senão ele para de funcionar. Isso não existe. Achei muuito ruim isso. Nem todos tem espaço de sobra no celular para ficar atualizando app todo dia. Desinstalando...",3,1,8.3.0,2021-12-07 10:17:56,
Tranquilo,3,0,7.0.1,2021-12-07 08:15:12,
Boa,3,0,5.14.0,2021-12-07 06:13:37,
Vou baixar pela primeira vez. Só para mim ver o grupo da minha marilhinha :))),3,0,,2021-12-07 02:35:18,
Tem muito a melhorar.,3,0,7.8.2,2021-12-07 01:16:43,
"o telegram está com problema de notificação, ele não notifica.",3,0,,2021-12-06 23:54:48,
"Seria legal se tivesse a opção de destacar as mensagens de administradores nos grupos, para destacar das demais. Também deveria ter para responder em particular mensagens em grupos. Falta traduzir para o português a parte de criar um novo tema. Também não tem a opção de filtrar mensagens de um único contato. Falta adicionar a opção de apagar os vídeos do cache que foram baixados automaticamente.",3,205,8.2.7,2021-12-06 22:53:50,
Conversamos com amigos rápido,3,0,8.2.7,2021-12-06 21:46:48,
Media,3,0,8.2.7,2021-12-06 21:29:01,
"Não consigo mais entrar no aplicativo. Pedem uma atualização e quando tento atualizar, fica pendente.",3,0,8.0.0,2021-12-06 15:36:21,
E top eu acho que é ensinado,3,0,7.9.3,2021-12-06 12:17:08,
"Ótimo app, mas pode ser melhor. A um bug chato que ao abrir o app pela notificação de uma conversa e sair dessa conversa para selecionar outra na aba principal, não consigo selecionar outra conversa ou simplesmente retornar a conversa que estava pois o app fica buscando a lista de contatos, que demora em torno de 10 a 20 segundos para aparecer isso quando aparece, tendo eu que bloquear a tela e desbloquear com o app aberto para tudo voltar ao normal, ou fazer isso sempre pra não ter que esperar",3,8,8.2.7,2021-12-06 11:46:38,
Bom,3,0,7.6.0,2021-12-06 08:51:54,
Nenhuma,3,0,8.2.7,2021-12-06 08:01:53,
Mais ou menos,3,0,8.2.7,2021-12-06 01:24:47,
Fiz atualização pela primeira vez ainda não posso dar opinião mas quanto ao aplicativo em si é ótimo.A atualização não concretiza fica pendente,3,0,7.8.0,2021-12-05 23:59:36,
"O app é bom, dá para fazer bastante coisa nele, mas é um saco ter que ficar fazendo atualização no app para poder usar",3,0,7.8.0,2021-12-05 23:54:51,
Bom,3,0,7.6.0,2021-12-05 18:06:03,
Muito bom mais eu mudei o número do meu celular eles não me passou o codico,3,0,,2021-12-05 17:46:53,
"A pasta do telegram sumiu do gerenciador de arquivos, consertem isto por favor.",3,0,8.2.7,2021-12-05 09:21:37,
Irjd,3,0,7.7.2,2021-12-05 08:47:23,
Bom d mais,3,0,7.5.0,2021-12-04 23:59:26,
Nâo utilizo!,3,0,8.1.2,2021-12-04 23:49:17,
Olá. Estou adorando o aplicativo. Obrigada.,3,0,,2021-12-04 23:25:41,
Muito bom,3,0,7.4.2,2021-12-04 20:50:23,
Boa,3,0,7.8.0,2021-12-04 14:37:26,
Tenho que usa mas pra pode fala alguma coisa,3,0,8.2.7,2021-12-04 14:30:35,
Bom.,3,0,8.2.7,2021-12-04 13:58:30,
"Boa tarde , boa",3,0,8.2.7,2021-12-04 12:40:52,
Boa,3,0,8.2.7,2021-12-04 12:30:16,
Bom,3,0,,2021-12-04 11:13:06,
Estava funcionando super bem mas agora não consigo mandar fotos nem videos nos meus canais...,3,0,8.2.7,2021-12-04 10:42:10,
"A aplicação é muito boa, mas eu não consigo atualizar, diz que não é possível! Assim não consigo ver nem mandar mensagens por esta app!!",3,0,8.0.0,2021-12-04 10:29:26,
Bom,3,0,7.4.2,2021-12-04 09:42:56,
ok,3,0,8.0.0,2021-12-04 08:30:20,
"Ainda não conheço, quando ver a real proposta, atualizarei...",3,0,8.2.7,2021-12-04 06:50:17,
Bom,3,0,8.2.7,2021-12-04 05:48:39,
"Um dos maiores aplicativos para trocar mensagens, mas o maior defeito é a demora para carregar as conversas e a função de buscas, fazendo com que fique muito tempo ""atualizando..."" os chats.",3,0,,2021-12-04 01:14:34,
Vou usar mais para ter melhor avaliação,3,0,8.2.7,2021-12-03 23:46:33,
Boa,3,0,7.7.2,2021-12-03 23:21:11,
"Faltam alguns recursos com compartilhar msgs pra outros aplicativos, e tbem ter opção de favoritar msgs.",3,0,8.2.7,2021-12-03 22:52:19,
"App excelente, estou aguardando acrescentarem os status... ✌🤘🤙",3,6,8.2.7,2021-12-03 22:13:09,
Poucos recursos,3,0,7.3.1,2021-12-03 22:04:27,
"Esperamos que sejam mantidos a mesma qualidade dos serviços oferecidos tipo armazenagem, espaços e outros diferencial dessse App com relação aos demais.",3,0,8.2.7,2021-12-03 22:03:36,
Não consigo atualizar,3,0,8.0.0,2021-12-03 22:03:07,
"Sempre foi muito bom, mas essa última atualização, foi uma droga",3,0,7.8.0,2021-12-03 21:24:47,
Bommm,3,0,8.2.7,2021-12-03 21:02:22,
Bom é rápido,3,0,6.0.1,2021-12-03 20:42:39,
Ótimo app,3,0,8.2.7,2021-12-03 20:08:02,
No meu não está mais aparecendo a opção enquete,3,0,8.2.7,2021-12-03 19:59:38,
Muito boa facia e confiavel,3,0,8.2.7,2021-12-03 18:11:52,
Será que não seria possível criar um jeito de criar chamadas nos grupos e colocar um link m3u8/mp4 para rodar um vídeo na ligação? Seria muito legal.,3,0,8.2.7,2021-12-03 17:53:24,
"É muito bom mas o suporte para problemas de vcs é horrível, o meu deu problema e não consigo resolver ,tô tentando desinstalar e baixar dnv.",3,0,7.9.3,2021-12-03 10:30:26,
"As mensagens pra mim chegam minutos atrasada, gostaria de resolver isso.",3,0,8.2.7,2021-12-03 02:37:39,
"O App é maravilhoso num tem como negar, mais tô triste pq as vezes mesmo com Internet ótima, fica só no conectando e num quer envia nada",3,0,7.7.2,2021-12-02 21:46:31,
Está travando muito,3,0,8.2.7,2021-12-02 20:08:51,
"É muito bom pra estudo, mas se tivesse a opção de cores nas letras, ficaria muito melhor.",3,0,8.2.7,2021-12-02 15:58:17,
É satisfatório.,3,0,,2021-12-02 14:19:59,
Não chegou o código,3,0,8.2.7,2021-12-02 11:59:57,
É possível melhorar mais!,3,0,7.6.0,2021-12-02 10:24:54,
Deixem a barra de notificações e a de navegação da mesma cor do resto do app. Pra um design mais integrado. As duas barras mais escuras fica feio,3,1,8.2.7,2021-12-01 22:06:14,
"O app tá apresentando falha, e não abre mais 🤔",3,0,8.2.7,2021-12-01 14:01:36,
Otimo,3,0,8.2.7,2021-12-01 11:07:13,
Queria relatar algo é urgente. Eu fiz um canal privado mas de alguma forma as pessoas acessaram...por favor melhorem a segurança do app.,3,0,8.2.7,2021-12-01 06:12:30,
Pra baix um video de 5m demora uns 15 e olha q minha internet e de 150m,3,0,,2021-12-01 00:01:31,
Bom,3,0,6.1.1,2021-11-30 22:53:31,
"A forma de login tá bugada,ao invés de colocarem pra logar com o número, coloquem pra logar com o e-mail, seria bem mais fácil, não consigo fazer login por isso",3,3,8.2.7,2021-11-30 18:05:00,
"Uma bugs estranhos demais, mensagens somem do chat depois aparece do nada.",3,0,8.2.7,2021-11-30 16:13:35,
O salvamento automático das mídias não está funcionando mesmo tando ativado nao aparece na galeria.,3,0,8.2.7,2021-11-30 11:23:18,
"A opção de salvar na galeria não está funcionando corretamente, fotos aparecem corrompidas na galeria e nem mesmo salva oque ja estava baixado",3,0,8.2.7,2021-11-29 23:42:29,
"Fui convidada, tô mim aprimorando. No momento tô achando bom.",3,0,8.2.7,2021-11-29 15:19:57,
Não consigo recuperar o meu😢,3,0,8.2.7,2021-11-29 14:31:20,
"É bom, mas precisa melhorar. Para atender as chamadas, não aparece nenhum ícone, não tem vomi atender chamada e depois temos que tentar adivinhar quem ligou. Está bem ruim quanto a receber chamadad.",3,2,8.2.7,2021-11-28 21:29:40,
"Não gostei deles terem tirado a função de compartilhar arquivos, isso atrapalha muito quando alguém pede esse determinado aquivo,e não vai ter como enviar para essa pessoa,volta com a maneira normal mesmo que é melhor...",3,0,,2021-11-28 18:33:09,
Não chega o codigo,3,0,8.2.7,2021-11-28 14:53:40,
Não consigo mais baixar nenhum vídeo automaticamente nele então perde a graça,3,0,8.2.7,2021-11-28 12:52:30,
É esse que assiste serie e novelas ?,3,0,,2021-11-27 23:58:20,
Difícil pra encontrar um contato,3,0,8.2.7,2021-11-27 22:32:01,
"O app está notificando duas vezes, as vezes mais Quando descarta uma notificação, ela reaparece novamente na mesma hora.",3,1,8.2.7,2021-11-27 21:58:16,
Voltem com a opção de download de vídeos automáticos por favooooor,3,0,,2021-11-27 21:35:52,
Telegram hackeado que fazer,3,0,,2021-11-27 15:34:16,
"Sumiu a opção áudio e surgiu um símbolo estranho que nos leva a uma câmera. Sinistro,pra não dizer outra coisa.",3,0,8.2.7,2021-11-27 13:13:56,
não consigo mais deixar o meu telegram com as cores que eu quero a cor muda do nada segundos depois de eu tentar alterar tirando isso um dos melhores apps mas precisa solucionar isso,3,0,8.2.7,2021-11-27 13:08:36,
"O app está com um problema, ele está saindo dos Grupos do nada, vejam isso ai por favor",3,2,8.2.7,2021-11-27 13:00:50,
"Meu Telegram está muito lento desde ontem, pensei que fosse por causa de minha internet, mas o WhatsApp e outros aplicativos estão funcionando perfeitamente. Por favor resolvam isso, gosto muito do telegram e tenho amigos que só converso por ele, esse lag está me deixando realmente desconfortável e até com uma leve raiva, não quero me estressar porque gosto muito desse app e nunca tinha me dado trabalho, então peço humildemente que resolvam meu problema, obrigada.",3,105,8.2.7,2021-11-27 09:46:46,
"Esse app era muito bom, mas quando eu precisei desinstala-lo e depois o instalei novamente o código não chegou mais.. queria saber se o erro é com o app em si. Se não for me desculpem, mas eu preciso conversar com alguns amigos e o código não chega de maneira alguma! Estou ficando chateada com isso!.",3,20,8.2.7,2021-11-27 00:41:58,
Ruin,3,0,,2021-11-26 21:05:50,
Bom,3,0,8.2.7,2021-11-26 20:47:54,
"Prezados Não estou conseguindo instalar o Telegram no meu aparelho, pois o código nao chega via sms para dar continuidade na instalação. O que fazer nesse caso?",3,0,8.2.7,2021-11-26 16:11:32,
"É muito bom, mas o código do SMS não chega",3,0,8.2.7,2021-11-26 15:55:22,
"App bom, mas poderia colocar a opção de excluir mensagem nos grupos e lista de transmissão,",3,0,8.2.7,2021-11-25 19:27:26,
Bom,3,0,8.2.2,2021-11-25 16:59:27,
"Estou com um bug enorme no meu, não sei o que fazer???",3,0,8.2.7,2021-11-25 15:35:16,
Nn sou fã do telegram nn,3,0,,2021-11-25 09:40:54,
Gente o meu código nao da indo🥺🥺🥺 ajuda ai po,3,0,,2021-11-24 23:41:52,
O armazenamento no dispositivo sumiu...tá péssimo isso.,3,0,8.2.1,2021-11-24 17:28:21,
Mm Z.,3,0,7.6.0,2021-11-24 13:56:43,
Não estou gostando muito de toda hora q vou entrar no telegran preciso de colocar o telefone e código do país. Fala sério hein,3,0,8.2.7,2021-11-24 07:11:40,
É bom o app mais ele está apresentando falhas e não entrando no app,3,0,8.2.7,2021-11-23 23:20:42,
Deveria haver a possibilidade de limpar as conversar q não interessam +.,3,0,8.2.7,2021-11-23 18:15:28,
"Muitos bugs Envio msg e fica a notificação na janela de conversa como se a outra pessoa que eu estava conversando é quem teria mandado. Tem outro erro também que o outro manda msg e eu não consigo visualizar , só consigo visualizar se eu enviar algo pra pessoa, aí sim, consigo ver a msg que recebeu. Eu hein.",3,0,8.2.7,2021-11-23 15:43:11,
era pra te a função do status de posta fotos e vídeos mas ele bom,3,0,,2021-11-23 12:27:33,
"queria pedir ao telegram que tirasse da barra do grupo o numero de pessoas online, isso é constrangedor para os donos de grupo, e é um tiro no pé do prólrio telegram, mostrando que nem todo mundo qye tem telegram o usa diariamente. Em grupos de mil pessoas mostra 100 online, em grupos de 5000 mostra 200 online, em grupo de 10000 mostra só 300 online, isso é extremamente desconfortavel aos donos de grupo",3,2,8.2.7,2021-11-23 11:22:02,
O que acontece que não consigo desinstalar o app?,3,0,,2021-11-23 11:07:58,
Começando hoje tô gostando,3,0,8.2.7,2021-11-22 17:59:16,
Muito bom amei,3,0,8.2.7,2021-11-22 14:36:12,
"O aplicativo é ótimo, mais tem que arrumar muita coisa, por exemplo quando alguém exclui a conversa apaga a sua e a dela ao mesmo tempo e quando bloqueia a conversa desaparece... Tomei o golpe do pix através do telegram e o pior de tudo e que na tive como provar por causa desse defeito horrível que o telegram!!",3,2,8.2.7,2021-11-21 21:54:25,
Insta: pablopereira_17⚡ joao_santos_azvd,3,0,,2021-11-21 20:24:00,
Não estou conseguindo ascessar conta,3,0,8.2.7,2021-11-20 21:50:38,
O que está acontecendo com o Telegram? Só hoje eu tive reinstalá-lo umas cinco vezes! Quando eu saio e volto o aplicativo me pede pra entrar com o número do meu celular novamente! Eu já atualizei hoje e continua do mesmo jeito!,3,0,8.2.7,2021-11-20 20:29:14,
Bom de mais,3,0,,2021-11-20 17:57:35,
"Não sei o que acontece, mas não recebo o código de ativação de jeito nenhum, nem por SMS, nem por e-mail. :/",3,0,8.2.7,2021-11-20 10:22:12,
"Não consigo visualizar na tela do meu celular, todos os outros apps ficam na tela menos o telegran",3,0,8.2.7,2021-11-20 08:31:23,
Agora está melhor que melhora a cada dia igualmente os outros,3,0,8.2.7,2021-11-20 08:18:18,
Não estou recebendo o código de segurança por que?,3,0,8.2.7,2021-11-20 01:21:04,
Com apaga message pasado,3,0,8.2.7,2021-11-19 17:32:49,
"Ultimamente meu Telegram não carrega absolutamente nada, fica somente atualizando. Gosto muito do aplicativo, porém até o momento não consigui resolver isso, acabou me prejudicando.",3,0,8.2.7,2021-11-19 16:41:15,
Só abaixei pra assistir séries e não consigo assistir nada pelo meu notebook sempre fica sem som,3,0,8.2.7,2021-11-19 15:06:35,
Gosto do apple é muito bom mesmo.,3,0,,2021-11-19 13:34:49,
Pior a privativo que eu poderia abaixar não entra o código eu tentei várias vezes e não consegui.,3,0,8.2.7,2021-11-19 11:54:52,
"Apesar de ser muito intuitivo, deixo aqui minha observação: está travando e congelando sem carregar a tela inicial com as mensagens me obrigando a parar o app e limpar o cache. Decepcionante.",3,2,,2021-11-19 08:48:18,
Eu não entendo esse app não notifica as mensagens. Poderiam melhorar isso ne? Você manda a mensagem hoje e a pessoa só recebe no outro dia. Pelo amor ne,3,0,8.2.7,2021-11-18 23:04:43,
Travando e ora fala que travou e terá que ser fechado após a aultima atualizacao,3,0,8.2.7,2021-11-18 08:17:45,
"O aplicativo é bom. Porém faltam uns recursos úteis e básicos: 01) Ter o poder de decidir se os estranhos (Não contatos) podem ou não invadir o meu pv (Mais privacidade), assim como eu decido se podem ligar pra mim; 02) Google Tradutor nativo como alguns clientes e o Twitter; 03) Pastas no menu de encaminhamento com agendamento, edição e off citação. Infelizmente tenho que usar algum cliente para usar esses recursos. Espero algum dia precisar apenas do oficial.",3,3,8.2.7,2021-11-17 22:26:04,
"Troquei de celular, baixei e não estou recebendo o código por SMS",3,0,8.2.7,2021-11-17 17:08:12,
Deveria haver a forma de podermos guardar os contatos!,3,1,8.1.2,2021-11-17 14:35:02,
Só dou 5 estrelas quando por status ou Storys.,3,0,8.2.7,2021-11-17 13:34:39,
"Bom aplicativo, Precisa alterar vel. Reprod. 1,5x igual Whatsapp. As atualizações de contatos constantes também são é um pé no saco!!!! Deveria ocorrer de forma automática.",3,5,8.2.7,2021-11-17 13:08:56,
Bom,3,0,,2021-11-17 11:23:10,
"Muito bom o aplicativo. Precisam melhorar nas conversas, pq as vezes saímos do aplicativo e msm assim continua on line pra pessoa, verifiquem isso.",3,1,8.2.7,2021-11-17 09:56:39,
O aplicativo não para de de ficar conectando ou atualizando.,3,1,8.2.7,2021-11-16 22:57:31,
Olá! Estou com dificuldade. Mudei aparelho com mesmo número e não recebo código de acesso. Podem enviar por e-mail. Já desinstalei e nada. Ana,3,0,8.1.2,2021-11-16 21:36:44,
"Está com um erro...quando fotografo ele grava porém ao enviar ele ""perde"" a foto e fica um arquivo com extensão desconhecida que não consigo mais acessar..parece que tem um ""limitador"" de fotos pois já aconteceu de receber a imagem nitidamente porém também ao enviar fica toda preta ou seja se perdeu.. novamente. É isto!",3,104,8.2.7,2021-11-16 17:59:04,
"Falta opção de limpar todo histórico de todas conversas igual o WhatsApp que apaga tudo e deixa apenas os grupos... Da maneira atual, tendo que selecionar todos, e só depois limpar histórico, além de não ser prático, ainda corre o risco de deletar tudo caso aperte o botão errado por engano..",3,2,8.2.7,2021-11-15 20:31:52,
"Já foi incrível, hoje em dia nem informação de atualização tem.",3,0,8.2.6,2021-11-15 19:17:51,
"Quero muito que voltem com o armazenamento interno automático pois era maravilhoso, espero que concertem esse erro grotesco que fizeram nesta última atualização",3,1,8.2.6,2021-11-15 18:56:43,
Gosto muito é legal,3,0,8.2.7,2021-11-15 10:37:49,
Boa,3,0,,2021-11-15 10:14:06,
Não estou recebendo o código para poder acessar o app.. oq devo fazer???,3,0,,2021-11-15 09:59:29,
É bom só que amaioria é tudo em inglês.,3,0,8.2.7,2021-11-15 08:51:22,
A hora do app está errada das mensagens é 1+ hora,3,1,8.2.7,2021-11-15 08:46:57,
Nota mil,3,1,8.2.7,2021-11-14 13:59:03,
O aplicativo tem muitos recursos!Está precisando voltar o armazenamento do aplicativo no celular!,3,0,,2021-11-14 10:33:23,
Muito só precisa melhorar um pouquinho mais,3,0,8.2.7,2021-11-14 10:17:15,
Só estou baixando pra ver a Elisa Sanches.,3,1,8.2.7,2021-11-13 18:11:54,
Eu não consigo baixa no meu celular,3,0,,2021-11-13 14:20:11,
No meu telefone não tem opção de limpar todos os históricos do chats,3,0,8.2.6,2021-11-13 13:11:01,
Troquei de número de celular e não consigo receber o SMS para validar o aplicativo no meu aparelho novo.,3,0,8.2.6,2021-11-13 11:55:39,
A parte das pessoas próximas leva uma eternidade pra carregar,3,0,8.2.6,2021-11-12 16:30:10,
🇸 🇴 🇺 🇸 🇴  🇵 🇦 🇷 🇦  🇪 🇳 🇹 🇷 🇦  🇳 🇴 🇸  🇬 🇷 🇺 🇵 🇴 🇸  🇰 🇰 🇰 🇰 🇰 🇰 ,3,0,,2021-11-12 12:21:28,
Estou tendo problemas com wi-fi. O telegram só está funcionando em redes móveis. Mesmo mudando as configurações nada resolveu...,3,0,8.2.6,2021-11-12 09:57:13,
Da para assistir doramas.,3,0,,2021-11-12 00:12:17,
"Demora muito pra enviar as mensagens mesmo com uma Internet de 300 mgb psg demora de 1 há dois minutos pra enviar uma mensagem não gostei,.",3,0,8.2.6,2021-11-11 23:08:20,
"Eu não consigo mandar áudio no meu, nem aparece a opção de mandar",3,0,8.2.6,2021-11-11 20:12:23,
